Country,Province,Confirmed,Deaths,Cast_Fatality_Ratio
US,Missouri,29945,397,1.325763900484221
US,Missouri,3865,109,2.820181112548512
US,Missouri,2543,37,1.4549744396382225
US,Missouri,81520,1118,1.3714425907752699
US,Missouri,2975,72,2.4201680672268906
US,Missouri,2306,33,1.4310494362532524
US,Missouri,6771,91,1.3439669177374096
US,Missouri,2290,59,2.576419213973799
US,Missouri,1263,32,2.5336500395882817
US,Missouri,2838,34,1.1980267794221282
US,Missouri,10591,230,2.1716551789255027
US,Missouri,2533,48,1.8949861823924201
US,Missouri,115062,1324,1.1506839790721524
US,Missouri,38964,564,1.4474899907607022
US,Missouri,64582,710,1.0993775355362174
US,Missouri,14024,150,1.069594980034227
US,Missouri,134007,1310,0.977560873685703
US,Missouri,1144,15,1.3111888111888113
US,Missouri,9317,188,2.0178168938499517
US,Missouri,8834,142,1.6074258546524791
US,Missouri,8872,181,2.040126239855726
US,Missouri,3177,43,1.3534781240163676
US,Missouri,17620,150,0.8513053348467651
US,Missouri,2975,70,2.3529411764705883
US,Missouri,4263,105,2.4630541871921183
US,Missouri,4135,64,1.5477629987908101
US,Missouri,4116,59,1.433430515063168
US,Missouri,1877,40,2.131060202450719
US,Missouri,9333,130,1.3929068895317689
US,Missouri,6015,77,1.2801330008312553
US,Missouri,849,15,1.7667844522968197
US,Missouri,6760,126,1.863905325443787
US,Missouri,4254,63,1.4809590973201692
US,Missouri,4193,60,1.430956355831147
US,Missouri,2446,50,2.044153720359771
US,Missouri,2935,62,2.1124361158432707
US,Missouri,4718,121,2.5646460364561254
US,Missouri,5809,89,1.5321053537614047
US,Missouri,13277,217,1.6344053626572268
US,Missouri,7165,50,0.6978367062107467
US,Missouri,2345,38,1.6204690831556503
US,Missouri,3612,51,1.4119601328903655
US,Missouri,1968,64,3.252032520325203
US,Missouri,3538,86,2.430751837196156
US,Missouri,6052,50,0.8261731658955717
US,Missouri,14294,179,1.2522736812648663
US,Missouri,12307,253,2.055740635410742
US,Missouri,4924,65,1.3200649878147848
US,Missouri,12228,106,0.8668629375204449
US,Missouri,9489,116,1.22246812098219
US,Missouri,10427,125,1.198810779706531
US,Missouri,1148,26,2.264808362369338
US,Missouri,2808,30,1.0683760683760684
US,Missouri,6940,110,1.585014409221902
US,Missouri,5963,99,1.6602381351668623
US,Missouri,1339,27,2.0164301717699775
US,Missouri,3091,67,2.167583306373342
US,Missouri,7047,115,1.6319000993330495
US,Missouri,854,26,3.0444964871194378
US,Missouri,784,18,2.295918367346939
US,Missouri,13208,168,1.2719563900666262
US,Missouri,1853,42,2.266594711279007
US,Missouri,1965,15,0.7633587786259542
US,Missouri,113847,1013,0.8897906839881595
US,Missouri,2481,43,1.7331721080209592
US,Missouri,22459,318,1.4159134422725856
US,Missouri,278860,3580,1.2837983217385067
US,Missouri,72258,831,1.1500456696836336
US,Missouri,4503,40,0.8882966910948257
US,Missouri,6894,147,2.1322889469103568
US,Missouri,6666,128,1.9201920192019202
US,Missouri,1929,25,1.2960082944530844
US,Missouri,15507,246,1.5863803443606113
US,Missouri,5439,111,2.0408163265306123
US,Missouri,0,0,
US,Missouri,5870,111,1.8909710391822827
US,Missouri,9441,107,1.1333545175299227
US,Missouri,6826,151,2.2121300908291825
US,Missouri,2814,56,1.9900497512437811
US,Missouri,9988,160,1.6019223067681216
US,Missouri,530,4,0.7547169811320755
US,Missouri,4447,93,2.091297503935237
US,Montana,2412,32,1.3266998341625207
US,Montana,5548,102,1.8385003604902668
US,Montana,2492,33,1.3242375601926164
US,Montana,1481,22,1.4854827819041188
US,Montana,2381,29,1.2179756404871902
US,Montana,276,5,1.8115942028985508
US,Montana,28778,370,1.2857043574953089
US,Montana,1239,15,1.2106537530266344
US,Montana,3424,52,1.5186915887850467
US,Montana,448,9,2.0089285714285716
US,Montana,2682,59,2.1998508575689786
US,Montana,3087,30,0.9718172983479106
US,Montana,749,11,1.4686248331108145
US,Montana,2842,60,2.1111893033075297
US,Montana,32952,299,0.9073804321437242
US,Montana,40083,133,0.3318114911558516
US,Montana,250,3,1.2
US,Montana,4580,77,1.6812227074235808
US,Montana,164,5,3.048780487804878
US,Montana,651,10,1.5360983102918586
US,Montana,5262,73,1.387305207145572
US,Montana,3027,25,0.8259002312520648
US,Montana,269,1,0.37174721189591076
US,Montana,7998,105,1.312828207051763
US,Montana,21119,199,0.9422794639897722
US,Montana,508,4,0.7874015748031497
US,Montana,5473,93,1.6992508678969487
US,Montana,2295,22,0.9586056644880174
US,Montana,432,9,2.0833333333333335
US,Montana,567,11,1.9400352733686066
US,Montana,1316,17,1.2917933130699089
US,Montana,32792,223,0.6800439131495487
US,Montana,1063,31,2.916274694261524
US,Montana,5007,39,0.7789095266626722
US,Montana,41,1,2.4390243902439024
US,Montana,1126,29,2.575488454706927
US,Montana,1414,9,0.6364922206506365
US,Montana,401,10,2.493765586034913
US,Montana,2159,32,1.4821676702176934
US,Montana,290,4,1.3793103448275863
US,Montana,8095,173,2.1371216800494133
US,Montana,2884,36,1.248266296809986
US,Montana,3729,75,2.011263073209976
US,Montana,3031,62,2.045529528208512
US,Montana,2382,53,2.225020990764064
US,Montana,864,13,1.5046296296296295
US,Montana,9537,136,1.4260249554367201
US,Montana,1691,32,1.8923713778829094
US,Montana,888,13,1.4639639639639639
US,Montana,1483,27,1.820633850303439
US,Montana,1371,25,1.8234865061998542
US,Montana,144,1,0.6944444444444444
US,Montana,0,0,
US,Montana,2057,39,1.8959649975692756
US,Montana,431,14,3.2482598607888633
US,Montana,241,8,3.319502074688797
US,Montana,49229,587,1.1923866013934876
US,Nebraska,7355,90,1.2236573759347382
US,Nebraska,1234,18,1.4586709886547813
US,Nebraska,33,1,3.0303030303030303
US,Nebraska,98,2,2.0408163265306123
US,Nebraska,72,4,5.555555555555555
US,Nebraska,1205,14,1.161825726141079
US,Nebraska,2427,26,1.0712814173877214
US,Nebraska,450,12,2.6666666666666665
US,Nebraska,618,7,1.132686084142395
US,Nebraska,13515,146,1.080281169071402
US,Nebraska,1461,23,1.5742642026009583
US,Nebraska,2198,18,0.818926296633303
